state,date,icubeds,totalicubeds
ND,9/10/20,121,100
NE,9/10/20,412,614
NH,9/10/20,147,279
OR,9/10/20,458,712
PR,9/10/20,476,726
RI,9/10/20,138,159
SD,9/10/20,83,94
TX,9/10/20,5760,6945
VT,9/10/20,36,63
MO,9/11/20,1538,2235
ND,9/11/20,111,90
NE,9/11/20,401,607
NH,9/11/20,161,279
OR,9/11/20,466,718
PR,9/11/20,486,720
RI,9/11/20,142,166
SD,9/11/20,75,93
TX,9/11/20,5670,6872
VT,9/11/20,69,105
MO,9/12/20,1486,2236
ND,9/12/20,110,87
NE,9/12/20,410,703
NH,9/12/20,166,279
OR,9/12/20,459,696
PR,9/12/20,485,723
RI,9/12/20,138,171
SD,9/12/20,74,94
TX,9/12/20,5563,6942
VT,9/12/20,72,105
MO,9/13/20,1448,2229
ND,9/13/20,119,193
NE,9/13/20,409,701
NH,9/13/20,144,279
OR,9/13/20,438,692
PR,9/13/20,477,722
RI,9/13/20,133,167
SD,9/13/20,72,94
TX,9/13/20,5443,6847
VT,9/13/20,71,105
MO,9/14/20,1429,2234
ND,9/14/20,128,244
NE,9/14/20,403,613
NH,9/14/20,139,279
OR,9/14/20,449,687
PR,9/14/20,464,715
RI,9/14/20,141,163
SD,9/14/20,82,94
TX,9/14/20,5516,6935
VT,9/14/20,70,105
MO,9/15/20,1507,2239
ND,9/15/20,173,256
NE,9/15/20,417,619
NH,9/15/20,155,279
OR,9/15/20,470,714
PR,9/15/20,463,713
RI,9/15/20,140,167
SD,9/15/20,91,94
TX,9/15/20,5642,6978
VT,9/15/20,72,103
MO,9/16/20,1517,2238
ND,9/16/20,175,254
